Asset,DateTime,Price_Close,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12
XAU/USD,1/16/2014 17:00,1242.7,0,0,0,0,0,0,0,0,-0.003805431,-0.001279738,0,0,0.000159564,0.000159564,0.00015907,0.00015907,0.000137422,0,0,0,-0.003655305,-0.000155328,-0.000156802,-0.003018577
XAU/USD,1/17/2014 17:00,1254.47,0,0,0,0,0,0,0,0,0.002933513,0.00464781,0.000116737,0,0.00429871,0.00429871,0.0042856,0.0042856,0.004304275,0.00355005,0,0,0.003078328,0.00466517,-0.000531395,-0.00053258
XAU/USD,1/20/2014 17:00,1255.37,0,0,0,0,0,0,0,0,0.000328655,0.000328843,0.000329327,0,0.000328992,0.000328992,0.000327988,0.000327988,0.000329418,0.000329068,-0.000100294,-0.000100294,0.000329222,0.000330094,0.000332362,0.000333055
XAU/USD,1/21/2014 17:00,1241.75,-0.000355249,-0.000355249,0,0,0,0,0,0,-0.00357638,-0.006855399,-0.006874588,-0.000355249,-0.006860831,-0.006860831,-0.006845261,-0.006845261,-0.006867441,-0.005672883,-0.006837732,-0.006837732,-0.000308378,-0.006881408,-0.006934035,-0.006948472
XAU/USD,1/22/2014 17:00,1241.15,0.000221016,0.000221016,0,0,0,0,0,0,0.000220884,0.000221288,0.000223757,0.000221016,0.000221938,0.000221938,0.000222503,0.000222503,-0.00093872,0.000221339,-0.001142461,0.00086481,0.000218878,0.000222136,0.000224953,0.000225426
XAU/USD,1/23/2014 17:00,1264.46,-0.002558363,-0.002558363,0,0,0,0,0,0,0.000806517,-0.002565377,-0.002593728,-0.002558363,-0.002572835,-0.002572835,0.002897297,-0.00257933,0.003960318,0.002889593,0.005694119,0.003972309,0.004179519,-0.002575108,-0.002607459,-0.002612886
XAU/USD,1/24/2014 17:00,1269.16,0.001715341,0.001715341,0.002930059,0.002930059,0,0,0,0,0.001706273,0.001715211,0.001734409,0.001715341,0.001720261,0.001720261,0.001725449,0.001724659,0.001721376,0.001718683,0.00173034,0.001726606,0.001709928,0.0017218,0.001743709,0.001747385
XAU/USD,1/27/2014 17:00,1257.24,-0.004312693,-0.004312693,-0.004279526,-0.004279526,0,0,0,0,0.007074918,-0.001289716,-0.004360217,-0.004312693,-0.004324956,-0.004324956,-0.004337887,-0.004335918,-0.004327735,-0.004321023,-0.004350075,-0.004340771,0.007048602,-0.001294583,-0.004383391,-0.004392551
XAU/USD,1/28/2014 17:00,1257.38,-0.000393523,0.001661807,0.001651977,-0.004365952,0,0,0,0,-4.32E-05,-4.40E-05,-0.00039781,0.001661807,-0.000394629,0.001666573,0.001666788,-0.004415281,0.001661917,-0.00393243,0.001669064,-0.003948179,-4.30E-05,-4.42E-05,-0.0003999,0.001692847
XAU/USD,1/29/2014 17:00,1268.08,-0.003891758,-0.003875043,-0.003859782,-0.003908831,0,0,0,0,-0.001759413,-0.00250066,-0.00393489,-0.003875043,-0.003902887,-0.003886101,-0.003874731,-0.003945765,-0.001557254,-0.001582004,-0.0028813,-0.00158743,0.000277457,-0.001141501,-0.003955924,-0.003947062
XAU/USD,1/30/2014 17:00,1244.09,0.008738588,0.008701001,-0.010101822,0.008776983,-0.00103609,-0.00103609,0,0,-0.010284066,-0.001041063,0.008835584,0.008701001,0.008763615,0.008725869,-0.010141241,0.008860041,-0.010733456,-0.010789855,-0.010769442,-0.010827227,-0.010556228,-0.010798405,0.008882887,0.008862957
XAU/USD,1/31/2014 17:00,1244.33,-8.01E-05,-7.98E-05,-8.20E-05,-8.04E-05,-8.10E-05,-8.10E-05,0,0,-8.10E-05,-8.14E-05,-8.09E-05,-7.98E-05,-8.03E-05,-8.00E-05,-8.23E-05,-8.11E-05,-8.19E-05,-8.23E-05,-8.22E-05,-8.25E-05,-8.05E-05,-8.23E-05,-8.13E-05,-8.11E-05
XAU/USD,2/3/2014 17:00,1257.83,-0.007483261,-0.007451207,-0.01029322,-0.004904484,-0.010163092,-0.010163092,0,0,-0.002656846,-0.008006117,-0.009071219,-0.006362812,-0.010096652,-0.010059094,-0.010333801,-0.004950567,-0.01027962,-0.010334205,-0.010327893,-0.010370377,0.004723918,-0.008104801,-0.008016375,-0.008001879
XAU/USD,2/4/2014 17:00,1255.05,0,0,-0.003288598,0.00101991,-0.004238505,-0.004238505,0,0,-0.000998529,-0.001011315,-0.001016097,0,-0.001008934,-0.001006848,-0.003301655,0.001029588,-0.004287487,-0.004310434,-0.00430778,-0.004325642,-0.001000433,-0.001023807,-0.001022825,-0.001022828
XAU/USD,2/5/2014 17:00,1257.98,0,0,-0.003947797,-0.001059608,-0.001071398,-0.001071398,0,0,0.001175315,0.001081173,0.001086358,0,0.001078592,0.001076329,-0.006803438,-0.001069518,-0.001083699,-0.001089462,-0.001088796,-0.001093281,0.001284902,0.00109472,0.001093655,0.001093658
XAU/USD,2/6/2014 17:00,1258.55,0,0,0,-0.000204154,-0.000206403,-0.000206403,-0.000108433,-0.001239017,0,-0.000350296,0.000213337,0,0.000211798,0.00021135,0.000216996,-0.000206044,-0.000208748,-0.000209847,-0.00020972,-0.000210575,-0.005639652,-0.00091908,0.000214784,0.000214784
XAU/USD,2/7/2014 17:00,1267.25,0,0,0,-0.00111102,0.000955915,0.000720085,0.000946623,0.000640788,0.001896844,-0.000112764,0.003192937,0,0.003170338,0.003163754,0.003246637,0.000955289,0.000967079,0.000732463,0.000971706,0.000659867,0.001514278,0.001565791,0.003214168,0.003214176
XAU/USD,2/10/2014 17:00,1275.02,0.00208366,0.002079357,0.002028154,0.001979915,0.002842876,0.002842825,0.002795763,0.00279884,0.002801311,0.002825142,0.00284016,-0.000179174,0.002820137,0.002814304,0.002887731,0.002839309,0.002875829,0.002891229,0.002889483,0.002901452,0.002780551,0.002872353,0.002858968,0.002858975
XAU/USD,2/11/2014 17:00,1293.66,0.006709724,0.006695914,0.006863591,0.006700867,0.006795328,0.006795208,0.006683115,0.006690443,0.00669633,0.006753093,0.006788859,0.006670816,0.006741171,0.006727279,0.006902153,0.006786835,0.006873809,0.006910482,0.006906325,0.006934826,0.00664688,0.00686553,0.006833654,0.006833671
XAU/USD,2/12/2014 17:00,1291.43,-0.000793292,-0.000791679,-0.000811264,-0.000792257,-0.000803292,-0.000803278,-0.000790183,-0.000791039,-0.000791727,-0.000798359,-0.000802537,-0.000788746,-0.000796966,-0.000795343,-0.000815767,-0.0008023,-0.000812457,-0.000816739,-0.000816254,-0.000819582,-0.000785949,-0.000811491,-0.000807768,-0.00080777
XAU/USD,2/13/2014 17:00,1303.26,0.004232987,0.004224326,0.004329465,0.004227432,0.004286666,0.00428659,0.0042163,0.004220895,0.001992324,0.004260183,0.00428261,0.004208586,0.004252707,0.004243995,0.004353641,0.00428134,0.004335872,0.004358862,0.004356256,0.004374123,0.00147324,0.004330681,0.004310696,0.004310707
XAU/USD,2/14/2014 17:00,1318.89,0.005571916,0.005560558,0.005698428,0.005564632,0.005642308,0.005642209,0.005550032,0.005556058,0.005414196,0.00560758,0.005636989,0.005539916,0.005597776,0.005586352,0.005730126,0.005635324,0.005706828,0.005736972,0.005733555,0.00575698,0.005381715,0.005700022,0.005673818,0.005673832
XAU/USD,2/17/2014 17:00,1329.11,0.003625247,0.003617894,0.003707142,0.003620531,0.003670816,0.003670752,0.003611079,0.00361498,0.002372794,0.003648335,0.003667373,0.003604529,0.003641989,0.003634593,0.003727658,0.003666295,0.003712579,0.003732089,0.003729877,0.003745038,0.00138316,0.003708174,0.003691212,0.003691221
XAU/USD,2/18/2014 17:00,1322.4,-0.005226811,-0.002362932,-0.002420909,-0.002364646,-0.002397313,-0.002397272,-0.002358505,-0.00236104,-7.61E-05,-0.001878607,-0.00380246,-0.003066941,-0.008018689,-0.002373782,-0.002434235,-0.002394377,-0.002424441,-0.002437112,-0.002435676,-0.002445523,-0.001278464,-0.001410737,-0.005175905,-0.003830393
